Cr2ZnAl,27,Cr,Zn,Al,A1Mom,-0.7786,6.005,0.269432,0.09058,0.2874,0.6174,0.2874,0.33,None,-0.388766
Cr2ZnIn,27,Cr,Zn,In,A1Mom,-0.0259,6.385,1.20545,0.06768,none,none,none,none,None,-0.20618
Mn2CoGe,27,Mn,Co,Ge,NormMom,3.0001,5.732,-0.621308,1,-0.1026,0.2174,0.1026,0.32,Half-Metal,-0.575726
Mn2CoSi,27,Mn,Co,Si,BigMom,3.0001,5.616,-1.446125,1,-0.2506,0.2394,0.2394,0.49,Half-Metal,-0.741332
Mn2CoSn,27,Mn,CO,Sn,A1Mom,-1.4199,6.092,-7.000595,0.32452,none,none,none,none,None,-0.294863
Mn2FeP,27,Mn,Fe,P,BigMom,3,5.558,-1.395972,1,-0.1507,0.0893,0.0893,0.24,Half-Metal,-0.222074
Mn2FeSb,27,Mn,Fe,Sb,NormMom,3,6.015,0.330589,1,-0.0427,0.3073,0.0427,0.35,Half-Metal,-0.294424
Mn2NiAl,27,Mn,Ni,Al,A1Mom,-1.116,5.812,-0.993808,0.55374,none,none,none,none,None,-0.622029
Mn2NiGa,27,Mn,Ni,Ga,A1Mom,-1.1339,5.851,-0.679956,0.63001,none,none,none,none,None,-0.416063
Mn2NiIn,27,Mn,Ni,In,A1Mom,-0.5727,6.161,0.233319,0.11166,none,none,none,none,None,-0.398284
Cr2CuSb,28,Cr,Cu,Sb,A1Mom,-0.21,6.236,1.119468,0.08101,0.2994,0.4694,0.2994,0.17,None,-0.283909
Cr2ZnSi,28,Cr,Zn,Si,BigMom,0.0017,5.837,0.328088,1,-0.145,0.265,0.145,0.41,Half-Metal,-0.005418
Fe2CoAl,28,Fe,Co,Al,BigMom,4.8123,5.696,-1.072049,-0.45513,-0.9771,-0.7371,0.7371,0.24,None,-0.462079
Fe2CoGa,28,Fe,Co,Ga,BigMom,4.9757,5.724,-0.635718,-0.50592,-0.9733,-0.7533,0.7533,0.22,None,-0.420425
Fe2CoIn,28,Fe,Co,In,BigMom,5.8293,6.017,0.556902,-0.53813,-0.7636,-0.5736,0.5736,0.19,None,-0.406169
Mn2CoP,28,Mn,Co,P,NormMom,3.9999,5.585,-1.313599,1,-0.2673,0.2427,0.2427,0.51,Half-Metal,-0.34527
Mn2CoSb,28,Mn,Co,Sb,BigMom,3.9999,5.988,0.175366,1,0.0192,0.5392,0.0192,0.52,Half-Metal,-0.588467
Mn2CuAl,28,Mn,Cu,Al,A1Mom,-0.0999,5.889,-0.427375,0.44632,none,none,none,none,None,-0.410758
Mn2CuGa,28,Mn,Cu,Ga,A1Mom,-0.2464,5.937,-0.169988,0.51963,-2.2428,-2.2328,2.2328,0.01,None,-0.254422
Mn2NiGe,28,Mn,Ni,Ge,A1Mom,-0.8106,5.85,-0.567043,0.35401,none,none,none,none,None,-0.474187
Mn2NiSi,28,Mn,Ni,Si,A1Mom,-1.0157,5.7,-1.140276,0.49337,-0.7633,-0.7333,0.7333,0.03,None,-0.482549
Mn2NiSn,28,Mn,Ni,Sn,A1Mom,-0.4221,6.146,-0.182046,0.27783,none,none,none,none,None,-0.520517
Fe2CoGe,29,Fe,Co,Ge,BigMom,5.0089,5.71,-0.665803,0.8246,-1.4063,-1.1263,1.1263,0.28,None,-0.540436
Fe2CoSi,29,Fe,Co,Si,NormMom,4.9708,5.602,-1.463583,0.63815,-1.6539,-1.3139,1.3139,0.34,None,-0.560742
Fe2CoSn,29,Fe,Co,Sn,NormMom,5.2514,5.983,-0.03408,-0.03312,-1.0594,-0.8294,0.8294,0.23,None,-0.567477
Fe2NiAl,29,Fe,Ni,Al,BigMom,4.693,5.736,-1.154771,-0.18548,-1.5076,-1.1776,1.1776,0.33,None,-0.731969
Fe2NiGa,29,Fe,Ni,Ga,NormMom,4.7947,5.757,-0.742084,-0.0452,-0.8024,-0.7924,0.7924,0.01,None,-0.605327
Fe2NiIn,29,Fe,Ni,In,BigMom,5.0396,6.033,0.307933,-0.1522,-1.1869,-0.8169,0.8169,0.37,None,-0.669225
Mn2CuGe,29,Mn,Cu,Ge,A1Mom,-0.6781,5.939,0.059952,-0.49769,-2.5705,-2.4905,2.4905,0.08,None,-0.119363
Mn2CuSi,29,Mn,Cu,Si,A1Mom,-1,5.762,-0.386395,-1,-0.2828,0.0172,0.0172,0.3,Half-Metal,-0.013499
Mn2CuSn,29,Mn,Cu,Sn,A1Mom,-0.5557,6.224,0.310016,-0.02479,-2.5459,-2.4959,2.4959,0.05,None,-0.252258
